,Country,Year,HOUSE_OVERCROWD,HOUSE_COST_BURDEN,HOUSE_SANITARY_X
144,EST,2014,9.67445969581604,25.3345727920532,16.30430073
145,EST,2015,8.34871679544449,15.7017707824707,16.22644514
146,EST,2016,8.30134153366089,16.2545457482338,14.5899877
147,EST,2017,8.76618474721909,18.1165024638176,13.82509619
148,EST,2018,8.00666287541389,12.3889923095703,13.57408464
149,EST,2019,9.94999706745148,17.9570391774178,13.52348328
150,EST,2020,8.88949930667877,22.2599789500237,11.61133796
151,EST,2021,11.8308544158936,18.4198349714279,
152,EST,2022,12.5983282923698,11.0266245901585,
153,FIN,2010,8.54810550808907,16.8917775154114,2.916113101
154,FIN,2011,8.823561668396,16.6952908039093,3.40674594
155,FIN,2012,8.2504115998745,15.8244997262955,2.94951275
156,FIN,2013,8.99844989180565,16.5357768535614,2.58367341
157,FIN,2014,9.26182195544243,18.6175256967545,2.27169767
158,FIN,2015,8.76196026802063,20.6611111760139,2.878498286
159,FIN,2016,8.95079076290131,19.5747166872025,2.336972579
160,FIN,2017,8.06449949741364,19.453153014183,2.094685473
161,FIN,2018,8.85026007890701,20.5564454197884,1.852023415
162,FIN,2019,8.93048569560051,19.8831781744957,1.540036127
163,FIN,2020,9.28948298096657,19.1099300980568,1.202545967
164,FIN,2021,9.4232365489006,18.9619079232216,
165,FIN,2022,10.2666243910789,24.0634068846703,
166,FRA,2010,8.01367536187172,,2.25813482
167,FRA,2011,7.2332076728344,,2.342978865
168,FRA,2012,7.159074395895,,1.920666918
169,FRA,2013,6.38904497027397,,1.381374802
170,FRA,2014,6.3175193965435,,1.623475365
171,FRA,2015,6.27816766500473,10.4359641671181,1.771549694
172,FRA,2016,6.30842000246048,10.7333950698376,2.21348498
173,FRA,2017,6.37402087450027,10.1982578635216,2.585736103
174,FRA,2018,6.38396292924881,9.69242081046104,1.424225233
175,FRA,2019,6.51558488607407,10.2906838059425,1.690206863
176,FRA,2020,7.61417075991631,10.1853601634502,0.908330455
177,FRA,2021,7.74597898125648,,
