,Country,Year,HOUSE_COST_BURDEN
0,ITA,2010,17.5418213009834
1,ITA,2011,19.8017805814743
2,ITA,2012,21.188947558403
3,ITA,2013,22.6837605237961
4,ITA,2014,19.5484772324562
5,ITA,2015,19.502130150795
6,ITA,2016,18.6276689171791
7,ITA,2017,19.5040956139565
8,ITA,2018,18.0121690034866
9,ITA,2019,20.6358641386032
10,ITA,2020,17.1705961227417
11,ITA,2021,13.1553784012794
12,ITA,2022,14.2579302191734
13,TUR,2010,24.308155477047
14,TUR,2011,21.6681465506554
15,TUR,2012,20.1918721199036
16,TUR,2013,17.8400218486786
17,TUR,2014,16.8139576911926
18,TUR,2015,17.6663354039192
19,TUR,2016,15.8180549740791
20,TUR,2017,16.6511565446854
21,TUR,2018,16.3576722145081
22,TUR,2019,14.1999453306198
23,TUR,2020,14.9388611316681
24,CZE,2016,6.96889534592628
25,CZE,2017,5.13989366590977
26,CZE,2018,4.84586544334888
27,CZE,2019,5.14419786632061
28,CZE,2020,5.63438609242439
29,CZE,2021,5.26909530162811
30,CZE,2022,3.25857549905777
31,DNK,2010,23.1353655457497
32,DNK,2011,25.5595564842224
33,DNK,2012,24.8510733246803
34,DNK,2013,24.3015393614769
35,DNK,2014,24.9778643250465
36,DNK,2015,22.300198674202
37,DNK,2016,25.8172601461411
38,DNK,2017,25.114718079567
39,DNK,2018,23.631078004837
40,DNK,2019,25.2859055995941
41,DNK,2020,23.1437504291534
42,DNK,2021,24.6431425213814
43,DNK,2022,23.0037823319435
44,GBR,2010,23.8643109798431
45,GBR,2011,20.0797900557518
46,GBR,2012,17.7879512310028
47,GBR,2013,18.3533802628517
48,GBR,2014,17.1417862176895
49,GBR,2015,16.3557469844818
50,GBR,2016,17.1130985021591
51,GBR,2017,16.5371164679527
52,GBR,2018,16.3634553551674
53,GBR,2019,17.7878811955452
54,GBR,2020,18.4971109032631
55,CRI,2011,18.9171582460403
56,CRI,2012,20.3136891126633
57,CRI,2013,16.1688044667244
58,CRI,2014,18.9640983939171
59,CRI,2015,19.5990800857544
60,CRI,2016,20.2235579490662
61,CRI,2017,24.6582627296448
62,CRI,2018,25.5818992853165
63,CRI,2019,24.1994142532349
64,CRI,2020,33.5444808006287
65,CRI,2021,31.2512189149857
66,CRI,2022,24.7450456023216
67,HUN,2012,16.0890728235245
68,HUN,2013,19.4946646690369
69,HUN,2014,17.237563431263
70,HUN,2015,15.5020251870155
71,HUN,2016,16.7577639222145
72,HUN,2017,21.6598734259605
73,HUN,2018,18.5179069638252
74,HUN,2019,18.2373568415642
75,HUN,2020,10.5683982372284
76,HUN,2021,31.2974154949188
77,HUN,2022,35.4811280965805
78,NOR,2010,11.3351851701736
79,NOR,2011,12.0854504406452
80,NOR,2012,12.4839268624783
81,NOR,2013,11.6208374500275
82,NOR,2014,16.6816234588623
83,NOR,2015,17.4088463187218
84,NOR,2016,16.1674842238426
85,NOR,2017,15.3518751263618
86,NOR,2018,17.5776243209839
87,NOR,2019,16.1744773387909
88,NOR,2020,15.9478709101677
89,SWE,2010,28.7566661834717
90,SWE,2011,27.0061522722244
91,SWE,2012,17.4725934863091
92,SWE,2013,18.5907304286957
93,SWE,2014,18.0414855480194
94,SWE,2015,22.9340299963951
95,SWE,2016,20.7797214388847
96,SWE,2017,22.9255363345146
97,SWE,2018,21.6593652963638
98,SWE,2019,22.1280425786972
99,SWE,2020,21.4781299233437
100,SWE,2021,22.1273630857468
101,SWE,2022,21.8162819743156
102,LUX,2010,16.5038526058197
103,LUX,2011,14.8324951529503
104,LUX,2012,18.7546879053116
105,LUX,2013,17.3157915472984
106,LUX,2014,22.1293404698372
107,LUX,2015,21.5796366333961
108,LUX,2016,25.8121997117996
109,LUX,2017,29.2501032352448
110,LUX,2018,19.5476680994034
111,LUX,2019,31.718784570694
112,LUX,2020,26.5193253755569
113,LUX,2021,24.5384633541107
114,LUX,2022,34.1246038675308
115,IRL,2010,10.1655282080173
116,IRL,2011,14.4570976495743
117,IRL,2012,18.3696553111076
118,IRL,2013,13.6338293552399
119,IRL,2014,15.9467175602913
120,IRL,2015,11.6227343678474
121,IRL,2016,11.3232634961605
122,IRL,2017,13.3613482117653
123,IRL,2018,9.8990224301815
124,IRL,2019,12.5324875116348
125,IRL,2020,13.8853758573532
126,IRL,2021,8.67384150624275
127,IRL,2022,9.29545313119888
128,FRA,2015,10.4359641671181
129,FRA,2016,10.7333950698376
130,FRA,2017,10.1982578635216
131,FRA,2018,9.69242081046104
132,FRA,2019,10.2906838059425
133,FRA,2020,10.1853601634502
134,FRA,2022,11.2495303153992
135,GRC,2010,27.4314254522324
136,GRC,2011,35.2254450321198
137,GRC,2012,41.3052082061768
138,GRC,2013,43.9475506544113
139,GRC,2014,41.875809431076
140,GRC,2015,39.5339041948318
141,GRC,2016,41.5390014648438
142,GRC,2017,37.9534810781479
143,GRC,2018,31.2073737382889
144,GRC,2019,29.1953563690186
145,GRC,2020,24.3270680308342
146,GRC,2021,30.4749250411987
147,GRC,2022,25.2614080905914
148,CAN,2010,22.8163972496986
149,CAN,2011,22.3035469651222
150,CAN,2012,22.8814452886581
151,CAN,2013,20.8084940910339
152,CAN,2014,18.9830467104912
153,CAN,2015,21.467213332653
154,CAN,2016,20.3098103404045
155,CAN,2017,21.3866025209427
156,CAN,2018,20.2539816498756
157,CAN,2019,19.7754099965096
158,JPN,2010,20.8000004291534
159,JPN,2012,17.4876853823662
160,JPN,2014,19.6969702839851
161,JPN,2016,17.1641796827316
162,JPN,2018,19.178082048893
163,JPN,2019,16.3934424519539
